iter	Passed	Remaining
427	1913	2556
428	1918	2553
429	1923	2549
430	1928	2545
431	1933	2542
432	1938	2538
433	1943	2534
434	1948	2530
435	1953	2527
436	1958	2523
437	1963	2519
438	1969	2517
439	1974	2513
440	1979	2509
441	1984	2505
442	1989	2501
443	1994	2497
444	1998	2492
445	2003	2488
446	2007	2483
447	2012	2479
448	2016	2474
449	2021	2470
450	2025	2466
451	2030	2461
452	2036	2458
453	2040	2454
454	2045	2450
455	2050	2446
456	2054	2441
457	2059	2437
458	2063	2432
459	2067	2427
460	2072	2423
461	2076	2418
462	2081	2414
463	2086	2409
464	2090	2405
465	2095	2401
466	2100	2397
467	2105	2393
468	2109	2388
469	2114	2384
470	2118	2379
471	2123	2375
472	2128	2371
473	2133	2367
474	2139	2365
475	2145	2361
476	2150	2357
477	2155	2353
478	2160	2350
479	2166	2346
480	2171	2342
481	2176	2338
482	2181	2334
483	2186	2330
484	2191	2326
485	2196	2323
486	2201	2319
487	2206	2315
488	2211	2311
489	2217	2307
490	2221	2303
491	2226	2298
492	2231	2295
493	2236	2290
494	2241	2286
495	2246	2282
496	2250	2278
497	2256	2274
498	2261	2270
499	2266	2266
500	2270	2261
501	2274	2256
502	2279	2252
503	2284	2248
504	2289	2244
505	2294	2239
506	2298	2234
507	2303	2230
508	2307	2225
509	2312	2221
510	2316	2216
511	2321	2212
512	2325	2207
513	2330	2203
514	2334	2198
515	2339	2194
516	2343	2189
517	2348	2184
518	2352	2180
519	2356	2175
520	2361	2170
521	2365	2166
522	2370	2161
523	2375	2157
524	2379	2153
525	2384	2149
526	2390	2145
527	2395	2141
528	2399	2136
529	2404	2131
530	2409	2127
531	2413	2123
532	2418	2119
533	2423	2115
534	2428	2110
535	2433	2106
536	2439	2102
537	2444	2098
538	2449	2094
539	2453	2090
540	2458	2085
541	2462	2081
542	2467	2076
543	2472	2072
544	2479	2069
545	2484	2065
546	2489	2061
547	2493	2057
548	2499	2053
549	2504	2048
550	2509	2044
551	2514	2040
552	2519	2036
553	2524	2032
554	2529	2027
555	2533	2023
556	2538	2018
557	2543	2014
558	2547	2009
559	2552	2005
560	2556	2000
561	2561	1996
562	2565	1991
563	2570	1986
564	2574	1982
565	2580	1978
566	2585	1974
567	2589	1969
568	2594	1965
569	2598	1960
570	2603	1956
571	2608	1951
572	2612	1947
573	2617	1942
574	2623	1938
575	2627	1934
576	2632	1929
577	2637	1925
578	2641	1920
579	2647	1916
580	2651	1912
581	2656	1907
582	2660	1903
583	2665	1898
584	2670	1894
585	2675	1890
586	2680	1886
587	2685	1881
588	2690	1877
589	2696	1873
