iter	RMSE
199	1169.404305
200	1168.609733
201	1164.270864
202	1163.421592
203	1160.413273
204	1158.512038
205	1156.727371
206	1153.428706
207	1149.589845
208	1148.753823
209	1147.997722
210	1145.41489
211	1144.769267
212	1144.144
213	1142.989842
214	1137.395768
215	1134.568459
216	1130.898556
217	1129.176496
218	1128.758426
219	1128.124045
220	1127.585562
221	1125.330325
222	1120.597329
223	1120.082771
224	1119.509761
225	1114.32257
226	1112.203111
227	1111.731688
228	1108.76154
229	1107.318621
230	1104.608686
231	1100.167535
232	1098.841859
233	1094.32559
234	1093.654529
235	1092.533171
236	1089.2372
237	1086.616375
238	1085.127642
239	1083.25694
240	1082.793445
241	1080.435276
242	1078.34317
243	1077.754926
244	1075.020673
245	1074.093693
246	1071.840197
247	1069.555477
248	1067.158668
249	1064.014383
250	1059.717154
251	1056.242377
252	1053.842062
253	1053.622224
254	1051.908183
255	1050.199871
256	1048.468256
257	1047.042173
258	1044.944215
259	1041.464235
260	1040.441888
261	1038.919728
262	1037.916257
263	1036.980075
264	1036.299557
265	1035.658761
266	1034.869335
267	1032.068409
268	1031.644797
269	1030.928736
270	1030.11229
271	1029.613397
272	1026.313851
273	1024.859449
274	1024.047091
275	1023.340438
276	1023.134407
277	1022.059926
278	1020.242787
279	1017.930028
280	1017.525213
281	1017.361211
282	1015.15295
283	1013.430563
284	1012.146116
285	1011.453048
286	1010.814794
287	1009.118584
288	1007.854178
289	1005.903554
290	1002.737753
291	1001.175143
292	1000.682929
293	999.4050133
294	997.8391489
295	996.3968227
296	995.8689468
297	994.4635222
298	993.8849093
299	992.8293228
300	991.3322345
301	988.4623861
302	988.0298487
303	987.7027912
304	987.061474
305	985.513804
306	984.1828108
307	983.1453305
308	980.6036337
309	979.5463768
310	978.4798971
311	977.6472
312	976.6896649
313	975.5135978
314	975.1045586
315	974.1642556
316	973.0002686
317	971.5968179
318	970.6239687
319	968.1776816
320	966.8247433
321	965.2119994
322	964.0735114
323	963.1815884
324	962.2988877
325	961.1897825
326	960.4059805
327	959.7807886
328	957.5046003
329	956.2988833
330	954.7471248
331	953.679135
332	953.0868691
333	952.1975152
334	951.5934714
335	951.0076828
336	949.7964238
337	948.6387888
338	947.3776186
339	946.4484415
340	944.8392205
341	944.1102278
342	943.5932705
343	941.9805424
344	941.1508979
345	939.7446763
346	938.6786498
347	937.0083221
348	935.6276307
349	934.6284198
350	933.4082706
351	932.2441242
352	931.2417484
353	929.997286
354	928.5121382
355	927.1805314
356	926.6682204
357	926.122012
358	925.1774744
359	924.0844267
360	922.4665692
361	921.1143753
362	920.2210972
363	919.3580297
364	918.3001267
365	917.5595388
366	916.0888545
367	914.525016
368	913.8877774
369	913.0297796
370	912.5878974
371	911.6128899
372	910.9697966
373	909.7238002
374	909.2081429
375	908.4122226
376	907.5172944
377	906.3564236
378	905.7717455
379	904.7722072
380	903.7457113
381	903.2610344
382	902.771215
383	902.2124578
384	901.7229253
385	900.7724798
386	899.861229
387	898.83692
388	898.3588933
389	897.7660932
390	897.2912414
391	896.7104522
392	895.703078
393	894.6675047
394	893.8234502
395	892.853097
396	892.040881
397	891.3162266
398	890.507129
399	889.9874878
400	888.9858173
401	888.2597865
402	887.3032044
403	886.5858243
404	886.1929077
405	885.2012678
406	884.8202144
407	884.4695004
408	883.6912514
409	883.2321531
410	882.6208683
411	882.0936419
412	881.6065902
413	881.2070368
414	880.3090838
415	879.7618331
416	878.7822792
417	877.5743212
418	876.856641
419	876.3598824
420	875.836751
421	875.3221931
422	874.4487779
423	873.8853472
424	873.4837058
425	872.6299874
426	872.074936
427	871.2005452
428	870.3850347
429	870.0025406
430	869.759546
431	868.7363721
432	868.3592373
433	867.3742519
434	866.8932263
435	866.3570988
436	865.8039391
437	865.1246146
438	864.4686136
439	863.4290075
440	863.1064035
441	862.7093266
442	862.2796165
443	861.5575326
444	860.6376621
445	860.2283606
446	859.5961096
447	858.9304555
448	858.4363602
449	857.1343657
450	856.2063799
451	855.7039321
452	854.9459211
453	854.4435412
454	853.7496907
455	852.8127163
456	852.2336508
457	851.4075723
458	850.7675009
459	850.1504968
460	849.1614852
461	848.6006148
462	848.0762717
463	847.6679512
464	846.9632869
465	846.645851
466	846.1356455
467	845.3221509
468	844.1627179
469	843.530588
470	842.8333726
471	842.1050811
472	841.4517481
473	840.8395328
474	840.521727
475	839.940217
476	839.5088881
477	838.9741892
478	838.4147746
479	838.0860086
480	837.7367654
481	836.6002603
482	835.9672716
483	835.6470728
484	835.3519174
485	835.0759091
486	834.5163472
487	834.0940552
488	833.4869713
489	832.5573171
490	832.3223073
491	831.599394
492	831.1956112
493	830.9757166
494	830.7690404
495	830.5747359
496	830.0068207
497	829.4522562
498	828.6392122
499	828.1659578
500	827.0454165
501	826.4841238
502	825.5414141
503	824.804635
504	824.4024875
505	824.0150215
506	823.4565654
507	823.1884549
508	822.570193
509	821.9504424
510	821.5700657
511	821.0898211
512	820.5952484
513	819.6428091
514	818.8813336
515	817.7639879
516	816.8909386
517	815.9279873
518	815.5340937
519	814.8545605
520	814.1804373
521	813.6061231
522	813.0215499
523	812.429174
524	811.9609604
525	811.2629096
526	810.7844848
527	810.1013958
528	809.2186119
529	808.5772196
530	807.9805611
531	807.3453324
532	807.0316595
533	806.5583611
534	806.1605415
535	805.9488849
536	805.0032803
537	804.3948341
538	803.8190931
539	803.0768884
540	802.7314327
541	802.4263766
542	801.7530983
543	801.4475841
544	800.890603
545	800.5876137
546	800.3045592
547	799.8211404
548	799.2153631
549	798.6607298
550	798.4423195
551	797.6435754
552	797.1162627
553	796.6379157
554	795.8434678
555	795.4106396
556	794.9678495
557	794.5809779
558	794.2216165
559	793.8770842
560	793.0812749
561	792.5976683
562	791.5178554
563	791.1175023
564	790.7794232
565	790.2722895
566	789.9889235
567	789.2057018
568	788.5532394
569	788.2982401
570	787.8969626
571	787.1401198
572	786.7423856
573	786.5960601
574	786.1855631
575	785.3641441
576	784.7709976
577	784.2193703
578	783.7930145
579	783.1374464
580	782.8225744
581	782.1168754
582	781.7509727
583	781.4222005
584	781.1060625
585	780.6433507
586	780.3864907
587	780.1762353
588	779.5644956
589	779.3198674
590	778.960868
591	778.4023735
592	777.449485
593	777.2303733
594	776.9349661
595	776.6327338
596	776.1639423
597	775.5225786
598	775.2661406
599	774.5583051
600	774.2034955
601	773.9651957
602	773.6340821
603	773.0397803
604	772.8278647
605	772.0475409
606	771.5775203
607	770.9001466
608	770.4298068
609	769.8120605
610	769.5462278
611	768.9916784
612	768.6454021
613	768.0631167
614	767.6786042
615	767.145119
616	766.808195
617	766.5376404
618	766.1123172
619	765.417633
620	764.9959421
621	764.7009599
622	764.0265086
623	763.352679
624	763.0209359
625	762.7289752
626	762.4876587
627	762.1749382
628	761.6823441
629	761.3814283
630	761.0766668
631	760.8082633
632	760.6302359
633	760.108373
634	759.8462657
635	759.5461095
636	759.2345841
637	759.0532769
638	758.7744454
639	758.3051034
640	758.0214721
641	757.5013544
642	757.0839082
643	756.8142169
644	756.6240459
645	756.0493028
646	755.5979092
647	755.2908897
648	755.0348966
649	754.7563505
650	754.3293483
651	753.8816164
652	753.459586
653	753.1076058
654	752.6309473
655	752.1022788
656	751.7657149
657	751.5461448
658	751.2217381
659	751.0488162
660	750.6561824
661	750.36537
662	749.9434824
663	749.3289552
664	748.9417563
665	748.359872
666	748.0091551
667	747.3953158
668	747.1076221
669	746.9561416
670	746.7706464
671	746.3920546
672	746.1858546
673	746.062745
674	745.7069195
675	745.4480243
676	744.8858878
677	744.7369655
678	744.4680646
679	744.2762556
680	743.9154007
681	743.6174699
682	743.3108662
683	742.7316626
684	742.5039744
685	741.6842758
686	741.086452
687	740.7574178
688	740.1795412
689	740.0529105
690	739.9352666
691	739.7457822
692	739.3873191
693	738.9948908
694	738.4557887
695	738.0868529
696	737.3310667
697	736.7987468
698	736.7124831
699	736.5845288
700	736.2972609
701	735.7616301
702	735.4711021
703	734.9540679
704	734.6838976
705	734.4052499
706	734.1696281
707	733.9693895
708	733.5790041
709	733.3653895
710	732.6824024
711	732.181768
712	732.0557395
713	731.8068224
714	731.4547295
715	731.2885231
716	730.7648298
717	730.4801447
718	729.7761613
719	728.9934162
720	728.3277406
721	728.0764033
722	727.9439048
723	727.4569022
724	727.0186466
725	726.7539278
726	726.4373722
727	726.0729883
728	725.5818028
729	725.4457004
730	725.0058754
731	724.415245
732	724.2057125
733	724.0403327
734	723.9019942
735	723.4687234
736	723.0620382
737	722.6723451
738	722.4642681
739	722.1583422
740	721.7217412
741	721.3688425
742	721.166497
743	720.8215233
744	720.589692
745	720.3440922
746	720.1079912
747	719.8468882
748	719.3989056
749	718.9969254
750	718.6234448
751	718.3249258
752	718.2009043
753	717.9958212
754	717.8655649
755	717.6165756
756	717.3354904
757	717.0342876
758	716.5473797
759	716.3085028
760	716.1024068
761	715.8910151
762	715.6997144
763	715.5165639
764	715.3274674
765	715.1554372
766	714.9888659
767	714.7890871
768	714.4041826
769	714.3395001
770	714.1804061
771	713.9235397
772	713.586509
773	713.2836059
774	713.0640539
775	712.3046344
776	711.9245574
777	711.7658878
778	711.7040013
779	711.5547415
780	711.2690802
781	711.1300844
782	710.9821906
783	710.9223737
784	710.446617
785	710.1838495
786	709.8324344
787	709.6211023
788	709.2014513
789	708.8894591
790	708.6442077
791	708.5714122
792	708.2427133
793	708.1213397
794	707.8104246
795	707.0212136
796	706.7898857
797	706.4837478
798	706.3704064
799	706.111534
800	705.8810512
801	705.737339
802	705.5503827
803	705.3432401
804	705.2835541
805	704.9993266
806	704.6405971
807	704.4222808
808	704.1830684
809	703.9504074
810	703.7181662
811	703.6652513
812	703.5018517
813	703.4518622
814	703.0731459
815	702.5756515
816	702.4165337
817	701.7400697
818	701.6863336
819	701.6328165
820	701.3862302
821	701.3364623
822	701.1344802
823	700.8987161
824	700.7665639
825	700.510723
826	700.12086
827	699.874281
828	699.7688874
829	699.2971459
830	699.07861
831	699.0342758
832	698.7645516
833	698.5335773
834	698.3271336
835	698.1350843
836	698.0393746
837	697.568098
838	697.1496041
839	696.8174589
840	696.1461905
841	695.6855066
842	695.321529
843	694.9596142
844	694.3724837
845	694.1897809
846	694.1014184
847	693.8199135
848	693.7103246
849	693.3795962
850	693.0906044
851	693.0490235
852	693.0026415
853	692.9588584
854	692.9144542
855	692.826396
856	692.5304285
857	692.4896717
858	692.3691678
859	692.0922908
860	691.9028577
861	691.6116435
862	691.4432853
863	691.1067304
864	690.8088095
865	690.7080615
866	690.6741622
867	690.4625628
868	690.2532081
869	690.0740229
870	689.8563319
871	689.4140726
872	689.2482428
873	689.0600604
874	688.9690155
875	688.6331382
876	688.4735527
877	688.2042901
878	688.1272028
879	687.9799759
880	687.6667899
881	687.3515029
882	687.1861425
883	686.8428189
884	686.5582242
885	686.2347659
886	685.9498897
887	685.7483145
888	685.0843048
889	684.5057598
890	684.4477992
891	684.1860151
892	683.8879892
893	683.6784629
894	683.3785093
895	683.0425358
896	682.7938808
897	682.683119
898	682.5111239
899	682.4409666
900	682.0757795
901	681.8601897
902	681.6986101
903	681.0943919
904	680.8309277
905	680.6781607
906	680.5087354
907	680.2666009
908	679.9902914
909	679.8151548
910	679.5066922
911	679.2895117
912	678.9756899
913	678.7140638
914	678.4202794
915	677.7971653
916	677.3436215
917	677.0323676
918	676.9849588
919	676.8450148
920	676.7995848
921	676.4419512
922	676.3668255
923	676.1698116
924	675.9712044
925	675.8501532
926	675.7342107
927	675.6094586
928	675.2923664
929	675.0570498
930	674.8020074
931	674.6949689
932	674.4219362
933	674.3225864
934	673.8237062
935	673.5662715
936	673.4914549
937	673.328369
938	672.8756777
939	672.7854514
940	672.4711261
941	672.4675477
942	672.3119345
943	672.2580666
944	672.1814847
945	672.1557956
946	671.7575987
947	671.7551534
948	671.325637
949	670.944014
950	670.8352648
951	670.7208718
952	670.4055728
953	669.8559585
954	669.8137438
955	669.7080565
956	669.3479655
957	669.3137253
958	668.9093144
959	668.8503078
960	668.8076233
961	668.6551225
962	668.3845991
963	668.1262084
964	667.689304
965	667.5324168
966	667.4504018
967	667.0430797
968	666.8280704
969	666.7504799
970	666.6004986
971	666.5323494
972	666.2549381
973	666.0850177
974	665.8209433
975	665.5747528
976	665.4423114
977	665.2816568
978	665.2078546
979	665.0814464
980	664.8504877
981	664.5905191
982	664.5561292
983	664.5166052
984	664.2036077
985	664.0484399
986	663.8501633
987	663.7158246
988	663.5755921
989	663.2324396
990	663.1435715
991	663.1228493
992	662.996449
993	662.9316183
994	662.6961667
995	662.2700104
996	662.1365074
997	662.040829
998	661.7064235
999	661.6843317
